"fdcId","description","dataType","calories","protein","fat","carbs"
"1098591","Chicken tenders or strips, breaded, from frozen","Survey (FNDDS)","240","14.6","13.6","14.9"
"1098592","Chicken tenders or strips, breaded, from other sources","Survey (FNDDS)","262","17.8","13.8","16.5"
"1098593","Fried chicken chunks, Puerto Rican style","Survey (FNDDS)","349","21","19.8","20.6"
"1098594","Turkey, NFS","Survey (FNDDS)","139","28.8","2.06","0"
"1098595","Turkey, light meat, skin not eaten","Survey (FNDDS)","139","28.8","2.06","0"
"1098596","Turkey, light meat, skin eaten","Survey (FNDDS)","169","28.3","5.55","0.03"
"1098597","Turkey, light meat, breaded, baked or fried, skin not eaten","Survey (FNDDS)","173","27.3","3.69","6.46"
"1098598","Turkey, light meat, breaded, baked or fried, skin eaten","Survey (FNDDS)","200","26.8","6.84","6.48"
"1098599","Turkey, light meat, roasted, skin not eaten","Survey (FNDDS)","139","28.8","2.06","0"
"1098600","Turkey, light meat, roasted, skin eaten","Survey (FNDDS)","169","28.3","5.55","0.03"
"1098601","Turkey, dark meat, roasted, skin not eaten","Survey (FNDDS)","167","26.9","5.98","0"
"1098602","Turkey, dark meat, roasted, skin eaten","Survey (FNDDS)","202","26.5","10.2","0.05"
"1098603","Turkey, light and dark meat, roasted, skin not eaten","Survey (FNDDS)","151","28","3.76","0"
"1098604","Turkey, light and dark meat, roasted, skin eaten","Survey (FNDDS)","183","27.5","7.54","0.04"
"1098605","Turkey, light or dark meat, fried, coated, skin not eaten","Survey (FNDDS)","165","27.2","5.05","1.4"
"1098606","Turkey, light or dark meat, fried, coated, skin eaten","Survey (FNDDS)","192","26.2","8.5","1.4"
"1098607","Turkey, light or dark meat, stewed, skin not eaten","Survey (FNDDS)","158","31.2","2.66","0.19"
"1098608","Turkey light or dark meat, stewed, skin eaten","Survey (FNDDS)","204","30.2","8.52","0.14"
"1098609","Turkey, light or dark meat, smoked, skin eaten","Survey (FNDDS)","208","28.1","9.7","0"
"1098610","Turkey, light or dark meat, smoked, skin not eaten","Survey (FNDDS)","162","29.3","5","0"
"1098611","Turkey, drumstick, cooked, skin not eaten","Survey (FNDDS)","144","28.5","3.38","0"
"1098612","Turkey, drumstick, cooked, skin eaten","Survey (FNDDS)","206","27.6","9.74","0"
"1098613","Turkey, drumstick, roasted, skin not eaten","Survey (FNDDS)","144","28.5","3.38","0"
"1098614","Turkey, drumstick, roasted, skin eaten","Survey (FNDDS)","203","26.9","10.1","0"
"1098615","Turkey, drumstick, smoked, skin eaten","Survey (FNDDS)","200","27.9","9.8","0"
"1098616","Turkey, thigh, cooked, skin eaten","Survey (FNDDS)","182","24.4","9.26","0.27"
"1098617","Turkey, thigh, cooked, skin not eaten","Survey (FNDDS)","161","26.9","5.98","0"
"1098618","Turkey, neck","Survey (FNDDS)","161","22.3","7.3","0"
"1098619","Turkey, wing, cooked, skin not eaten","Survey (FNDDS)","139","28.8","2.06","0"
"1098620","Turkey, wing, cooked, skin eaten","Survey (FNDDS)","202","26.9","9.97","0"
