"fdcId","description","dataType","calories","protein","fat","carbs"
"167610","Seal, bearded (Oogruk), meat, raw (Alaska Native)","SR Legacy","110","26.7","0.4","0"
"167611","Oil, bearded seal (Oogruk) (Alaska Native)","SR Legacy","899","0.56","99.6","0"
"167612","Oopah (tunicate), whole animal (Alaska Native)","SR Legacy","67","11.7","2.2","0"
"167613","Owl, horned, flesh, raw (Alaska Native)","SR Legacy","136","22.7","5","0"
"167614","Fish, salmon, king, chinook, smoked and canned (Alaska Native)","SR Legacy","150","23.2","5.9","0"
"167615","Fish, salmon, king, chinook, smoked, brined (Alaska Native)","SR Legacy","430","39.9","30","0"
"167616","Fish, salmon, king, chinook, liver (Alaska Native)","SR Legacy","156","16.6","8","4.3"
"167617","Duck, scoter, white-winged, meat (Alaska Native)","SR Legacy","84","20.2","0.4","0"
"167618","Sea cucumber, yane (Alaska Native)","SR Legacy","56","13","0.4","0"
"167619","Squirrel, ground, meat (Alaska Native)","SR Legacy","111","19.3","3.8","0"
"167620","Tea, tundra, herb and laborador combination (Alaska Native)","SR Legacy","1","0","0","0.2"
"167621","Walrus, meat, dried (Alaska Native)","SR Legacy","251","57","2.6","0"
"167622","Deer (venison), sitka, raw (Alaska Native)","SR Legacy","116","21.5","2.66","0"
"167623","Whale, bowhead, subcutaneous fat (blubber) (Alaska Native)","SR Legacy","870","0.4","96.5","0"
"167624","Whale, bowhead, skin and subcutaneous fat (muktuk) (Alaska Native)","SR Legacy","465","12.6","46.1","0"
"167625","Oil, whale, bowhead (Alaska Native)","SR Legacy","900","0","100","0"
"167626","Fish, whitefish, broad, liver (Alaska Native)","SR Legacy","104","11","4.4","5.1"
"167627","Mush, blue corn with ash (Navajo)","SR Legacy","54","0.66","0.49","11.7"
"167628","Cornmeal, blue (Navajo)","SR Legacy","398","10.4","5.44","76.9"
"167629","Melon, banana (Navajo)","SR Legacy","21","0.84","0.2","4.06"
"167630","Chilchen (Red Berry Beverage) (Navajo)","SR Legacy","44","0.81","0.63","8.68"
"167631","Corn, dried (Navajo)","SR Legacy","386","9.88","5.22","74.9"
"167632","Squash, Indian, cooked, boiled (Navajo)","SR Legacy","16","0.31","0.15","3.22"
"167633","Bread, kneel down (Navajo)","SR Legacy","195","4.29","2.21","39.5"
"167634","Mutton, cooked, roasted (Navajo)","SR Legacy","234","33.4","11.1","0.08"
"167635","Frybread, made with lard (Navajo)","SR Legacy","330","6.69","12.2","48.3"
"167636","Tamales (Navajo)","SR Legacy","153","6.28","6.12","18.1"
"167637","Stew, steamed corn (Navajo)","SR Legacy","112","8.82","3.75","10.8"
"167638","Fish, halibut, raw, with skin (Alaska Native)","SR Legacy","116","20.5","2.92","1.81"
"167639","Fish, salmon, coho (silver), raw (Alaska Native)","SR Legacy","140","22.6","5.57","0"
"167640","Blueberries, wild, raw (Alaska Native)","SR Legacy","61","1.22","0.76","12.3"
"167641","Oil, spotted seal (Alaska Native)","SR Legacy","894","0","99.3","0"
"167642","Fish, salmon, red, canned, bones removed (Alaska Native)","SR Legacy","161","27.3","5.76","0"
"167643","Fish, whitefish, eggs (Alaska Native)","SR Legacy","104","14.7","2.88","4.89"
"167644","Caribou, rump meat, half dried (Alaska Native)","SR Legacy","255","52.1","5.23","0"
"167645","Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)","SR Legacy","206","35.2","7.26","0"
"167646","Fish, salmon, red, (sockeye), kippered (Alaska Native)","SR Legacy","141","24.5","4.75","0"
"167647","Fish, salmon, king, with skin, kippered, (Alaska Native)","SR Legacy","209","23.2","13","0"
"167648","Fish, sheefish, raw (Alaska Native)","SR Legacy","115","22.2","2.84","0"
"167649","Buffalo, free range, top round steak, raw (Shoshone Bannock)","SR Legacy","97","21.4","1.3","0"
"167650","Seal, bearded (Oogruk), meat, partially dried (Alaska Native)","SR Legacy","270","62.4","2.31","0"
"167651","Buffalo, free range, top round steak, cooked (Shoshone Bannock)","SR Legacy","146","32.5","1.8","0"
"167652","Elk, free range, roast, eye of round, raw (Shoshone Bannock)","SR Legacy","98","19.7","2.1","0"
"167653","Corn, dried, yellow (Northern Plains Indians)","SR Legacy","419","14.5","10.6","66.3"
"167654","Smelt, dried (Alaska Native)","SR Legacy","386","56.2","17.9","0"
"167655","Frybread, made with lard (Apache)","SR Legacy","309","8.38","10.1","46"
"167656","Corned beef and potatoes in tortilla (Apache)","SR Legacy","224","7.91","8.31","29.4"
"167657","ON THE BORDER, soft taco with ground beef, cheese and lettuce","SR Legacy","229","13.2","11","19.3"
"167658","Restaurant, Mexican, soft taco with ground beef, cheese and lettuce","SR Legacy","219","12.6","10.8","17.9"
"167659","Restaurant, Latino, chicken and rice, entree, prepared","SR Legacy","174","12","5.06","20"
"167660","Restaurant, Latino, empanadas, beef, prepared","SR Legacy","335","11.3","18.4","31.2"
"167661","Restaurant, Latino, pupusas con frijoles (pupusas, bean)","SR Legacy","229","5.59","9.01","31.5"
"167662","Restaurant, Latino, pupusas con queso (pupusas, cheese)","SR Legacy","256","11.7","13.2","22.4"
"167663","Restaurant, Latino, pupusas del cerdo (pupusas, pork)","SR Legacy","232","11.5","10.4","23"
"167664","Restaurant, Latino, tamale, corn","SR Legacy","186","3.48","7.21","26.7"
"167665","Restaurant, Mexican, spanish rice","SR Legacy","185","3.28","5.29","31.2"
"167666","Restaurant, Mexican, refried beans","SR Legacy","156","6.91","6.77","16.8"
"167667","Restaurant, Chinese, egg rolls, assorted","SR Legacy","250","8.28","11.9","27.3"
"167668","Restaurant, Chinese, fried rice, without meat","SR Legacy","174","4.05","2.96","32.8"
"167669","CRACKER BARREL, steak fries","SR Legacy","255","3.26","13.2","30.9"
"167670","CRACKER BARREL, grilled sirloin steak","SR Legacy","203","31.5","8.52","0"
"167671","CRACKER BARREL, macaroni n' cheese plate, from kid's menu","SR Legacy","192","6.46","11.5","15.6"
"167672","DENNY'S, french fries","SR Legacy","282","3.41","14.1","35.2"
"167673","DENNY'S, top sirloin steak","SR Legacy","182","28.9","7.34","0.14"
"167674","Restaurant, Chinese, lemon chicken","SR Legacy","252","11.9","13.6","20.6"
"167675","Restaurant, Chinese, general tso's chicken","SR Legacy","295","12.9","16.4","24"
"167676","Restaurant, Chinese, kung pao chicken","SR Legacy","129","9.76","6.98","6.87"
"167677","Restaurant, Chinese, vegetable lo mein, without meat","SR Legacy","121","4.77","2.35","20.2"
"167678","Restaurant, Chinese, chicken and vegetables","SR Legacy","95","8.18","4.56","5.38"
"167679","Restaurant, Chinese, orange chicken","SR Legacy","262","14.5","12.7","22.5"
"167680","Restaurant, Italian, spaghetti with meat sauce","SR Legacy","121","5.79","3.59","16.4"
"167681","Beverages, fruit-flavored drink, dry powdered mix, low calorie, with aspartame","SR Legacy","218","0.45","0.04","87.4"
"167682","Pectin, liquid","SR Legacy","11","0","0","2.1"
"167683","Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated","SR Legacy","221","6.4","10.1","26.1"
"167684","Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie","SR Legacy","160","1.5","14","7"
"167685","Bologna, beef and pork, low fat","SR Legacy","230","11.5","19.3","2.6"
"167686","Milk dessert, frozen, milk-fat free, chocolate","SR Legacy","167","4.3","1","37.7"
"167687","Whipped topping, frozen, low fat","SR Legacy","224","3","13.1","23.6"
"167688","Cream substitute, powdered, light","SR Legacy","431","1.9","15.7","73.4"
"167689","Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies","SR Legacy","529","10.2","29.3","56.9"
"167690","Babyfood, apple yogurt dessert, strained","SR Legacy","93","0.8","1.6","19.5"
"167691","Vegetable oil-butter spread, reduced calorie","SR Legacy","465","0","53","0"
"167692","Salad dressing, blue or roquefort cheese dressing, light","SR Legacy","86","2.1","2.7","13.2"
"167693","Salad dressing, french dressing, reduced calorie","SR Legacy","227","0.4","13","27"
"167694","Sausage, turkey and pork, fresh, bulk, patty or link, cooked","SR Legacy","307","22.7","23","0.7"
"167695","Mayonnaise, made with tofu","SR Legacy","322","5.95","31.8","3.06"
"167696","Frankfurter, beef, low fat","SR Legacy","140","12","9.5","1.6"
"167697","Milk, buttermilk, fluid, cultured, reduced fat","SR Legacy","56","4.1","2","5.3"
"167698","Pork sausage rice links, brown and serve, cooked","SR Legacy","407","13.7","37.6","2.36"
"167699","Salad dressing, blue or roquefort cheese dressing, fat-free","SR Legacy","115","1.52","1.01","25.6"
"167700","Salad Dressing, mayonnaise-like, fat-free","SR Legacy","84","0.2","2.7","15.5"
"167701","Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar","SR Legacy","443","3.2","17.5","71.2"
"167702","Oil, flaxseed, cold pressed","SR Legacy","884","0.11","100","0"
"167703","Cheese, cottage, lowfat, 1% milkfat, lactose reduced","SR Legacy","74","12.4","1","3.2"
"167704","Salad dressing, bacon and tomato","SR Legacy","326","1.8","35","2"
"167705","Cheese, parmesan, low sodium","SR Legacy","451","41.6","30","3.7"
"167706","Jams, preserves, marmalade, reduced sugar","SR Legacy","151","0","0.1","37.6"
"167707","Beverages, fruit-flavored drink, powder, with high vitamin C with other added vitamins, low calorie","SR Legacy","227","0.25","0.16","91"
"167708","Tomato and vegetable juice, low sodium","SR Legacy","22","0.6","0.1","4.59"
"167709","Turkey, wing, smoked, cooked, with skin, bone removed","SR Legacy","221","27.4","12.4","0"
"167710","Turkey, drumstick, smoked, cooked, with skin, bone removed","SR Legacy","200","27.9","9.8","0"
"167711","Beverages, Chocolate-flavored drink, whey and milk based","SR Legacy","49","0.64","0.4","10.7"
"167712","Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium","SR Legacy","541","37","41.8","1.43"
"167713","Turkey, light or dark meat, smoked, cooked, skin and bone removed","SR Legacy","162","29.3","5","0"
"167714","Hearts of palm, raw","SR Legacy","115","2.7","0.2","25.6"
"167715","Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size","SR Legacy","339","10.9","2.06","80.6"
"167716","Cheese, cottage, lowfat, 1% milkfat, with vegetables","SR Legacy","67","10.9","1","3"
"167717","Yeast extract spread","SR Legacy","185","23.9","0.9","20.4"
"167718","Babyfood, juice, pear","SR Legacy","43","0","0","11.9"
"167719","Chicken, meatless, breaded, fried","SR Legacy","234","21.3","12.8","8.51"
"167720","Babyfood, meat, beef with vegetables, toddler","SR Legacy","69","3.5","2.1","8.72"
"167721","Frozen novelties, juice type, juice with cream","SR Legacy","115","1.41","1.41","24.1"
"167722","Tofu yogurt","SR Legacy","94","3.5","1.8","16"
"167723","Alcoholic beverage, rice (sake)","SR Legacy","134","0.5","0","5"
"167724","Millet, puffed","SR Legacy","354","13","3.4","80"
"167725","Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY","SR Legacy","380","10","3","78"
"167726","Babyfood, mixed fruit yogurt, strained","SR Legacy","75","0.8","0.8","16.2"
"167727","Beverages, ABBOTT, ENSURE PLUS, ready-to-drink","SR Legacy","141","5.16","4.52","19.9"
"167728","Babyfood, rice and apples, dry","SR Legacy","396","6.7","2.4","86.9"
"167729","Babyfood, juice, apple - cherry","SR Legacy","47","0.2","0.1","11.2"
"167730","Milk, imitation, non-soy","SR Legacy","46","1.6","2","5.3"
"167731","Babyfood, cereal, rice with pears and apple, dry, instant fortified","SR Legacy","389","6.6","0.9","88.5"
"167732","Babyfood, banana no tapioca, strained","SR Legacy","91","1","0.2","21.3"
"167733","Babyfood, banana apple dessert, strained","SR Legacy","68","0.3","0.2","16.3"
"167734","Breakfast bar, corn flake crust with fruit","SR Legacy","376","4.4","7.5","72.8"
"167735","Cheese, mozzarella, low sodium","SR Legacy","280","27.5","17.1","3.1"
"167736","Mayonnaise dressing, no cholesterol","SR Legacy","688","0","77.8","0.3"
"167737","Oil, corn, peanut, and olive","SR Legacy","884","0","100","0"
"167738","Pie fillings, blueberry, canned","SR Legacy","181","0.41","0.2","44.4"
"167739","Beverages, Cocktail mix, non-alcoholic, concentrated, frozen","SR Legacy","287","0.08","0.01","71.6"
"167740","Puddings, chocolate flavor, low calorie, regular, dry mix","SR Legacy","365","10.1","3","74.4"
"167741","Puddings, all flavors except chocolate, low calorie, regular, dry mix","SR Legacy","351","1.6","0.1","86"
"167742","Mollusks, scallop, (bay and sea), cooked, steamed","SR Legacy","111","20.5","0.84","5.41"
"167743","Syrup, Cane","SR Legacy","269","0","0","73.1"
"167744","Mollusks, snail, raw","SR Legacy","90","16.1","1.4","2"
"167745","Turtle, green, raw","SR Legacy","89","19.8","0.5","0"
"167746","Lemons, raw, without peel","SR Legacy","29","1.1","0.3","9.32"
"167747","Lemon juice, raw","SR Legacy","22","0.35","0.24","6.9"
"167748","Lemon juice from concentrate, canned or bottled","SR Legacy","17","0.45","0.07","5.62"
"167749","Lemon peel, raw","SR Legacy","47","1.5","0.3","16"
"167750","Prickly pears, raw","SR Legacy","41","0.73","0.51","9.57"
"167751","Plums, dried (prunes), stewed, without added sugar","SR Legacy","107","0.96","0.16","28.1"
"167752","Plums, dried (prunes), stewed, with added sugar","SR Legacy","124","1.09","0.22","32.9"
"167753","Prune juice, canned","SR Legacy","71","0.61","0.03","17.4"
"167754","Pummelo, raw","SR Legacy","38","0.76","0.04","9.62"
"167755","Raspberries, raw","SR Legacy","52","1.2","0.65","11.9"
"167756","Raspberries, canned, red, heavy syrup pack, solids and liquids","SR Legacy","91","0.83","0.12","23.4"
"167757","Raspberries, frozen, red, sweetened","SR Legacy","103","0.7","0.16","26.2"
"167758","Rhubarb, raw","SR Legacy","21","0.9","0.2","4.54"
"167759","Sapodilla, raw","SR Legacy","83","0.44","1.1","20"
"167760","Sapote, mamey, raw","SR Legacy","124","1.45","0.46","32.1"
"167761","Soursop, raw","SR Legacy","66","1","0.3","16.8"
"167762","Strawberries, raw","SR Legacy","32","0.67","0.3","7.68"
"167763","Tamarinds, raw","SR Legacy","239","2.8","0.6","62.5"
"167764","Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids","SR Legacy","86","0.41","0.1","22.4"
"167765","Watermelon, raw","SR Legacy","30","0.61","0.15","7.55"
"167766","Maraschino cherries, canned, drained","SR Legacy","165","0.22","0.21","42"
"167767","Pineapple, canned, juice pack, drained","SR Legacy","60","0.51","0.11","15.6"
"167768","Apricots, canned, heavy syrup, drained","SR Legacy","83","0.64","0.11","21.3"
"167769","Cherries, sour, canned, water pack, drained","SR Legacy","42","0.69","0.21","10.4"
"167770","Cherries, sweet, canned, pitted, heavy syrup, drained","SR Legacy","83","0.73","0.21","21.1"
"167771","Apple juice, canned or bottled, unsweetened, with added ascorbic acid","SR Legacy","46","0.1","0.13","11.3"
"167772","Applesauce, canned, unsweetened, with added ascorbic acid","SR Legacy","42","0.17","0.1","11.3"
"167773","Applesauce, canned, sweetened, with salt","SR Legacy","76","0.18","0.18","19.9"
"167774","Grapefruit juice, pink, raw","SR Legacy","39","0.5","0.1","9.2"
"167775","Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid","SR Legacy","47","0.14","0.1","11.5"
"167776","Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)","SR Legacy","63","0.39","0.16","15"
"167777","Pears, raw, red anjou","SR Legacy","62","0.33","0.14","14.9"
"167778","Pears, raw, bosc (Includes foods for USDA's Food Distribution Program)","SR Legacy","67","0.36","0.09","16.1"
"167779","Pears, raw, green anjou (Includes foods for USDA's Food Distribution Program)","SR Legacy","66","0.44","0.1","15.8"
"167780","Prune puree","SR Legacy","257","2.1","0.2","65.1"
"167781","Candied fruit","SR Legacy","322","0.34","0.07","82.7"
"167782","Abiyuch, raw","SR Legacy","69","1.5","0.1","17.6"
"167783","Rowal, raw","SR Legacy","111","2.3","2","23.9"
"167784","Guava nectar, canned, with added ascorbic acid","SR Legacy","63","0.09","0.06","16.2"
"167785","Mango nectar, canned","SR Legacy","51","0.11","0.06","13.1"
"167786","Tamarind nectar, canned","SR Legacy","57","0.09","0.12","14.7"
"167787","Pomegranate juice, bottled","SR Legacy","54","0.15","0.29","13.1"
"167788","Nance, canned, syrup, drained","SR Legacy","95","0.56","1.28","22.8"
"167789","Nance, frozen, unsweetened","SR Legacy","73","0.66","1.16","17"
"167790","Naranjilla (lulo) pulp, frozen, unsweetened","SR Legacy","25","0.44","0.22","5.9"
"167791","Horned melon (Kiwano)","SR Legacy","44","1.78","1.26","7.56"
"167792","Orange Pineapple Juice Blend","SR Legacy","51","0.41","0.08","12.2"
"167793","Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)","SR Legacy","63","0.2","0.18","15.2"
"167794","Orange juice, chilled, includes from concentrate, with added calcium and vitamins A, D, E","SR Legacy","49","0.68","0.12","11.5"
"167795","Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO","SR Legacy","63","0.42","0","15"
"167796","Fruit juice smoothie, NAKED JUICE, GREEN MACHINE","SR Legacy","53","0.6","0.26","12.5"
"167797","Fruit juice smoothie, BOLTHOUSE FARMS, BERRY BOOST","SR Legacy","46","0.63","0.02","10.9"
"167798","Fruit juice smoothie, BOLTHOUSE FARMS, GREEN GOODNESS","SR Legacy","56","0.63","0.33","13"
"167799","Fruit juice smoothie, BOLTHOUSE FARMS, strawberry banana","SR Legacy","52","0.44","0.3","12.4"
"167800","Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium","SR Legacy","48","0.12","0.17","11.5"
"167801","Lemon juice from concentrate, bottled, CONCORD","SR Legacy","24","0.4","0.07","5.37"
"167802","Lemon juice from concentrate, bottled, REAL LEMON","SR Legacy","17","0.47","0.07","5.66"
"167803","Cranberry sauce, whole, canned, OCEAN SPRAY","SR Legacy","158","0.75","0.05","40.4"
"167804","Cranberry sauce, jellied, canned, OCEAN SPRAY","SR Legacy","160","1.05","0.04","40.6"
"167805","Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C","SR Legacy","44","0.5","0.1","10.5"
"167806","Baobab powder","SR Legacy","250","3.69","0.47","79.6"
"167807","Cherry juice, tart","SR Legacy","59","0.31","0.54","13.7"
"167808","Raspberries, puree, seedless","SR Legacy","41","1.02","0.87","7.99"
"167809","Raspberries, puree, with seeds","SR Legacy","55","1.1","0.97","11.5"
